alpha,target_emotion,emotion_acc,emotion_ref_cosine,emotion_src_cosine,speaker_cosine,speaker_ref_cosine,sample_count
0.0,Angry,0.05,-0.2607177088642493,0.3534389693965204,0.7795665165781975,0.7483186328411102,200
0.2,Angry,0.1,-0.18531688228249546,0.3540452082152478,0.7773291237652302,0.8525399199128151,200
0.4,Angry,0.145,-0.10967515176162122,0.2809274831111543,0.7643148708343506,0.7483186328411102,200
0.6,Angry,0.185,-0.01138744274154303,0.17237918393453583,0.7498711931705475,0.7483186328411102,200
0.8,Angry,0.3,0.1629559282818809,-0.017687822756706727,0.7312016735970974,0.7483186328411102,200
1.0,Angry,0.52,0.44197973287431525,-0.18969614506233484,0.6964617083966732,0.7433450452983379,200
0.0,Happy,0.085,-0.16330717539880424,0.3607426862698048,0.7813696648180485,0.7062415060400963,200
0.2,Happy,0.15,-0.05858985181665046,0.3135345287295058,0.7719179165363311,0.8768198068439961,200
0.4,Happy,0.285,0.11976130772149192,0.16391167922178285,0.7546721787750721,0.7062415060400963,200
0.6,Happy,0.415,0.27465197725687174,0.015076111360685906,0.7332514703273774,0.7062415060400963,200
0.8,Happy,0.57,0.47366908605908975,-0.1272820655675605,0.7104403118789197,0.7062415060400963,200
1.0,Happy,0.655,0.5781194903794676,-0.21907529707532375,0.6713437789678574,0.7004564820230007,200
0.0,Sad,0.66,0.6369174069492146,0.34778934772126374,0.7804684090614319,0.7374865968525409,200
0.2,Sad,0.795,0.7700554118677974,0.2447647777455859,0.7799884471297264,0.9000424140691757,200
0.4,Sad,0.9,0.8621453992370516,0.13611004004953428,0.7685063129663467,0.7374865968525409,200
0.6,Sad,0.955,0.9011405694158747,0.05849943977780642,0.7578734607994556,0.7374865968525409,200
0.8,Sad,0.985,0.9077717795129865,0.0455118709546514,0.7369561219215393,0.7374865968525409,200
1.0,Sad,0.97,0.893282561013475,0.044596738368272805,0.7256048895418644,0.7267877827584743,200
0.0,Surprise,0.0,-0.36301578549668195,0.35972845820244403,0.77923642963171,0.6769090634584427,200
0.2,Surprise,0.005,-0.2935120434500277,0.31724158774130046,0.7740121358633041,0.845426597893238,200
0.4,Surprise,0.02,-0.17186964428983625,0.15514488639310003,0.7525971341133117,0.6769090634584427,200
0.6,Surprise,0.095,0.062065186402760465,-0.13973472174257037,0.7202998985350132,0.6769090634584427,200
0.8,Surprise,0.325,0.3769058903027326,-0.35936444303020837,0.6742037068307399,0.6769090634584427,200
1.0,Surprise,0.51,0.5763724143709987,-0.419836437497288,0.624972403421998,0.672762964963913,200
