alpha,emotion_acc,emotion_ref_cosine,emotion_src_cosine,speaker_cosine,speaker_ref_cosine
0.0,0.19875,-0.03753081570263019,0.3554248653975083,0.780160255022347,0.7172389497980476
0.2,0.2625,0.058159158579655944,0.30739652560791003,0.775811905823648,0.8687071846798062
0.4,0.3375,0.1750904777267715,0.18402352219389287,0.7600226241722703,0.7172389497980476
0.6,0.4125,0.306617572583491,0.026555003332614444,0.7403240057080984,0.7172389497980476
0.8,0.545,0.48032567103917245,-0.11470561509995603,0.7132004535570741,0.7172389497980476
1.0,0.66375,0.6224385496595641,-0.19600278531666843,0.6795956950820983,0.7108380687609315
